U,meanMagU,UCritical4R, AR
0.074218,0.05917,0.041855,2
0.14844,0.1035,0.081934,2
0.29687,0.20552,0.1749,2
0.44531,0.29703,0.24619,2
0.59375,0.34032,0.2849,2
0.74218,0.37456,0.31201,2
0.89062,0.39992,0.34795,2
1.1133,0.43693,0.38584,2
0.077274,0.064018,0.032715,1
0.15455,0.10282,0.074902,1
0.3091,0.19561,0.14443,1
0.46365,0.25967,0.1999,1
0.6182,0.28848,0.22161,1
0.77274,0.32074,0.2574,1
0.92729,0.36411,0.29355,1
1.1591,0.3952,0.33467,1
0.061851,0.058114,0.031543,0.8
0.1237,0.082015,0.054785,0.8
0.2474,0.15119,0.11475,0.8
0.3711,0.22011,0.1559,0.8
0.49481,0.28417,0.1924,0.8
0.61851,0.33838,0.24365,0.8
0.74221,0.36286,0.26611,0.8
0.92776,0.40392,0.27803,0.8
0.052379,0.042021,0.019043,0.6
0.10476,0.071913,0.040527,0.6
0.20951,0.14167,0.098145,0.6
0.31427,0.21035,0.1499,0.6
0.41903,0.27927,0.18115,0.6
0.52379,0.33616,0.2169,0.6
0.62854,0.39377,0.23486,0.6
0.78568,0.44437,0.26,0.6
0.049266,0.036198,0.022544,0.39216
0.098532,0.065476,0.041716,0.39216
0.19706,0.13064,0.086211,0.39216
0.29559,0.19322,0.12364,0.39216
0.39413,0.25948,0.15673,0.39216
0.49266,0.30787,0.18192,0.39216
0.59119,0.34152,0.20692,0.39216
0.73899,0.38556,0.22604,0.39216
0.0475,0.035253,0.0128,0.2
0.095,0.0695,0.0337,0.2
0.19,0.1388,0.059277,0.2
0.285,0.20316,0.088965,0.2
0.38,0.27422,0.1284,0.2
0.475,0.32345,0.15381,0.2
0.57,0.36017,0.18115,0.2
0.7125,0.41178,0.18428,0.2
0.047011,0.030959,0.0038086,0.14189
0.094023,0.067383,0.0196,0.14189
0.18805,0.13214,0.045652,0.14189
0.28207,0.19322,0.068652,0.14189
0.37609,0.26448,0.10244,0.14189
0.47011,0.302,0.1199,0.14189
0.56414,0.344,0.13486,0.14189
0.70517,0.39578,0.14521,0.14189
